THIx,THIy,KNEx,KNEy,TIBx,TIBy,knee angle
0.6171875,0.524456522,0.6015625,0.616847826,0.5828125,0.72826087,1032
0.61875,0.524456522,0.603125,0.616847826,0.584375,0.72826087,1016
0.6203125,0.524456522,0.6046875,0.616847826,0.584375,0.72826087,1004
0.621875,0.524456522,0.60625,0.616847826,0.5859375,0.72826087,997
0.625,0.527173913,0.6078125,0.616847826,0.5859375,0.72826087,994
0.6265625,0.527173913,0.609375,0.616847826,0.5875,0.72826087,996
0.63125,0.527173913,0.6125,0.616847826,0.5890625,0.72826087,1002
0.634375,0.529891304,0.6140625,0.616847826,0.590625,0.72826087,1013
0.6359375,0.527173913,0.6171875,0.619565217,0.5921875,0.72826087,1029
0.6390625,0.529891304,0.61875,0.619565217,0.5921875,0.72826087,1050
0.640625,0.529891304,0.6203125,0.619565217,0.59375,0.725543478,1077
0.6453125,0.529891304,0.625,0.619565217,0.596875,0.725543478,1110
0.6453125,0.529891304,0.625,0.619565217,0.596875,0.725543478,1150
0.6515625,0.529891304,0.6296875,0.619565217,0.6,0.722826087,1197
0.6546875,0.529891304,0.63125,0.616847826,0.6015625,0.722826087,1251
0.6578125,0.529891304,0.634375,0.616847826,0.603125,0.722826087,1314
0.6625,0.529891304,0.640625,0.619565217,0.6078125,0.720108696,1386
0.6625,0.529891304,0.6390625,0.616847826,0.6078125,0.720108696,1468
0.6703125,0.529891304,0.6453125,0.616847826,0.6109375,0.720108696,1560
0.6734375,0.529891304,0.6484375,0.616847826,0.6140625,0.717391304,1663
0.678125,0.529891304,0.6515625,0.616847826,0.615625,0.717391304,1778
0.68125,0.527173913,0.65625,0.616847826,0.61875,0.714673913,1905
0.6859375,0.527173913,0.659375,0.616847826,0.6203125,0.714673913,2044
0.69375,0.527173913,0.6671875,0.614130435,0.6265625,0.711956522,2195
0.6984375,0.527173913,0.671875,0.614130435,0.6296875,0.70923913,2358
